Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2001,Brisbane,Fatal,No,No,No,No,No,No,No,1,1,0,0,0,1
2001,Brisbane,Fatal,No,Yes,No,No,No,No,No,5,5,1,0,0,6
2001,Brisbane,Fatal,No,Yes,No,Yes,No,No,No,4,4,0,2,0,6
2001,Brisbane,Fatal,No,Yes,No,Yes,No,No,Yes,1,1,0,0,0,1
2001,Brisbane,Fatal,No,Yes,No,Yes,Yes,No,No,1,1,1,0,0,2
2001,Brisbane,Fatal,No,Yes,Yes,No,No,No,No,1,1,1,0,0,2
2001,Brisbane,Fatal,No,Yes,Yes,No,Yes,No,No,2,2,0,1,0,3
2001,Brisbane,Fatal,Yes,No,No,No,No,No,No,9,10,0,0,0,10
2001,Brisbane,Fatal,Yes,No,No,No,No,No,Yes,5,5,3,0,0,8
2001,Brisbane,Fatal,Yes,No,No,No,Yes,No,No,2,3,0,0,0,3
2001,Brisbane,Fatal,Yes,No,No,Yes,No,No,No,3,3,0,0,0,3
2001,Brisbane,Fatal,Yes,No,Yes,No,No,No,No,2,2,0,2,0,4
2001,Brisbane,Fatal,Yes,No,Yes,No,No,No,Yes,2,2,5,0,0,7
2001,Brisbane,Fatal,Yes,No,Yes,No,Yes,No,No,6,6,3,0,0,9
2001,Brisbane,Fatal,Yes,Yes,No,No,No,No,Yes,1,1,2,0,0,3
2001,Brisbane,Fatal,Yes,Yes,No,Yes,No,No,No,1,1,0,0,0,1
2001,Brisbane,Fatal,Yes,Yes,Yes,No,No,No,No,2,2,2,1,2,7
2001,Brisbane,Fatal,Yes,Yes,Yes,No,Yes,No,No,1,1,2,0,0,3
2001,Brisbane,Fatal,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,0,0,2
2001,Brisbane,Hospitalisation,No,No,No,No,No,No,No,25,0,25,1,0,26
2001,Brisbane,Hospitalisation,No,Yes,No,No,No,No,No,101,0,116,7,12,135
2001,Brisbane,Hospitalisation,No,Yes,No,No,No,No,Yes,2,0,2,0,0,2
2001,Brisbane,Hospitalisation,No,Yes,No,No,Yes,No,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,No,No,No,19,0,19,0,1,20
