Crash_Year,Crash_PoliceRegion,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Restraint_Helmet_Use,Casualty_Count
2001,Brisbane,Fatality,0 to 16,Female,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,17 to 24,Female,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Fatality,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Fatality,30 to 39,Female,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Fatality,40 to 49,Female,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,50 to 59,Female,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Fatality,60 to 74,Female,Vehicle Occupant,Restrained,3
2001,Brisbane,Fatality,75 and over,Female,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,75 and over,Female,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Fatality,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Fatality,17 to 24,Male,Motorcyclist,Helmet Worn,2
2001,Brisbane,Fatality,17 to 24,Male,Vehicle Occupant,Restrained,4
2001,Brisbane,Fatality,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,5
2001,Brisbane,Fatality,25 to 29,Male,Bicyclist,Helmet Worn,1
2001,Brisbane,Fatality,25 to 29,Male,Motorcyclist,Helmet Worn,1
2001,Brisbane,Fatality,25 to 29,Male,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,4
2001,Brisbane,Fatality,30 to 39,Male,Motorcyclist,Helmet Worn,1
2001,Brisbane,Fatality,30 to 39,Male,Vehicle Occupant,Restrained,2
2001,Brisbane,Fatality,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Fatality,30 to 39,Male,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Fatality,40 to 49,Male,Bicyclist,Helmet Worn,1
2001,Brisbane,Fatality,40 to 49,Male,Motorcyclist,Helmet Worn,1
2001,Brisbane,Fatality,40 to 49,Male,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Fatality,50 to 59,Male,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Fatality,60 to 74,Male,Motorcyclist,Helmet Worn,1
2001,Brisbane,Fatality,60 to 74,Male,Vehicle Occupant,Restrained,1
2001,Brisbane,Fatality,75 and over,Male,Vehicle Occupant,Restrained,1
2001,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,Helmet Not Worn,1
2001,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,Helmet Worn,2
2001,Brisbane,Hospitalised,0 to 16,Female,Vehicle Occupant,Restrained,17
2001,Brisbane,Hospitalised,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,Helmet Worn,4
2001,Brisbane,Hospitalised,17 to 24,Female,Vehicle Occupant,Restrained,114
2001,Brisbane,Hospitalised,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,20
2001,Brisbane,Hospitalised,17 to 24,Female,Vehicle Occupant,Unrestrained,7
2001,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,Helmet Worn,2
2001,Brisbane,Hospitalised,25 to 29,Female,Vehicle Occupant,Restrained,48
2001,Brisbane,Hospitalised,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,13
2001,Brisbane,Hospitalised,25 to 29,Female,Vehicle Occupant,Unrestrained,4
2001,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,Helmet Use Not determined,2
2001,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Use Not determined,1
2001,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Worn,4
2001,Brisbane,Hospitalised,30 to 39,Female,Vehicle Occupant,Restrained,65
2001,Brisbane,Hospitalised,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,10
2001,Brisbane,Hospitalised,30 to 39,Female,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Hospitalised,40 to 49,Female,Bicyclist,Helmet Worn,2
2001,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,Helmet Not Worn,1
2001,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,Helmet Worn,6
2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Not applicable,1
2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Restrained,63
2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,7
2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Unrestrained,4
2001,Brisbane,Hospitalised,50 to 59,Female,Motorcyclist,Helmet Worn,3
2001,Brisbane,Hospitalised,50 to 59,Female,Vehicle Occupant,Restrained,43
2001,Brisbane,Hospitalised,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,6
2001,Brisbane,Hospitalised,50 to 59,Female,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Hospitalised,60 to 74,Female,Vehicle Occupant,Restrained,33
2001,Brisbane,Hospitalised,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,1
2001,Brisbane,Hospitalised,60 to 74,Female,Vehicle Occupant,Unrestrained,4
2001,Brisbane,Hospitalised,75 and over,Female,Vehicle Occupant,Restrained,22
2001,Brisbane,Hospitalised,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,4
2001,Brisbane,Hospitalised,75 and over,Female,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Hospitalised,Unknown,Female,Vehicle Occupant,Restrained,1
2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,Helmet Not Worn,3
2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,Helmet Use Not determined,1
2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,Helmet Worn,15
2001,Brisbane,Hospitalised,0 to 16,Male,Motorcyclist,Helmet Worn,2
2001,Brisbane,Hospitalised,0 to 16,Male,Vehicle Occupant,Restrained,20
2001,Brisbane,Hospitalised,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,6
2001,Brisbane,Hospitalised,0 to 16,Male,Vehicle Occupant,Unrestrained,1
2001,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,Helmet Not Worn,2
2001,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,Helmet Worn,15
2001,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Not Worn,4
2001,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Use Not determined,1
2001,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Worn,40
2001,Brisbane,Hospitalised,17 to 24,Male,Vehicle Occupant,Restrained,118
2001,Brisbane,Hospitalised,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,43
2001,Brisbane,Hospitalised,17 to 24,Male,Vehicle Occupant,Unrestrained,13
2001,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,Helmet Use Not determined,2
2001,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,Helmet Worn,10
2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Not Worn,1
2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Use Not determined,1
2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Worn,25
2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Not applicable,1
2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Restrained,36
2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,16
2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Unrestrained,4
2001,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,Helmet Not Worn,2
2001,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,Helmet Worn,18
