Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2001,Brisbane,Fatal,No,No,No,41,43,20,3,0,66
2001,Brisbane,Fatal,No,No,Yes,1,1,1,0,0,2
2001,Brisbane,Fatal,No,Yes,No,2,2,0,1,2,5
2001,Brisbane,Fatal,Yes,No,No,5,5,0,2,0,7
2001,Brisbane,Fatal,Yes,Yes,No,1,1,0,0,0,1
2001,Brisbane,Hospitalisation,No,No,No,917,0,1085,117,75,1277
2001,Brisbane,Hospitalisation,No,No,Yes,20,0,22,8,1,31
2001,Brisbane,Hospitalisation,No,Yes,No,75,0,86,4,4,94
2001,Brisbane,Hospitalisation,Yes,No,No,169,0,177,9,5,191
2001,Brisbane,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,No,6,0,6,0,0,6
2001,Brisbane,Medical treatment,No,No,No,1822,0,0,2178,130,2308
2001,Brisbane,Medical treatment,No,No,Yes,56,0,0,65,2,67
2001,Brisbane,Medical treatment,No,Yes,No,138,0,0,159,7,166
2001,Brisbane,Medical treatment,No,Yes,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,No,158,0,0,165,6,171
2001,Brisbane,Medical treatment,Yes,Yes,No,8,0,0,8,0,8
2001,Brisbane,Minor injury,No,No,No,1218,0,0,0,1455,1455
2001,Brisbane,Minor injury,No,No,Yes,24,0,0,0,28,28
2001,Brisbane,Minor injury,No,Yes,No,104,0,0,0,129,129
2001,Brisbane,Minor injury,Yes,No,No,88,0,0,0,94,94
2001,Brisbane,Minor injury,Yes,Yes,No,2,0,0,0,2,2
2001,Brisbane,Property damage only,No,No,No,2244,0,0,0,0,0
2001,Brisbane,Property damage only,No,No,Yes,35,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,190,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,4,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,1,0,0,0,0,0
2001,Central,Fatal,No,No,No,64,70,33,10,2,115
2001,Central,Fatal,No,Yes,No,21,23,10,5,4,42
2001,Central,Fatal,Yes,No,No,5,5,0,0,0,5
2001,Central,Hospitalisation,No,No,No,722,0,921,123,48,1092
2001,Central,Hospitalisation,No,No,Yes,7,0,14,3,0,17
2001,Central,Hospitalisation,No,Yes,No,62,0,74,9,2,85
2001,Central,Hospitalisation,No,Yes,Yes,1,0,6,26,0,32
2001,Central,Hospitalisation,Yes,No,No,123,0,128,5,7,140
2001,Central,Hospitalisation,Yes,Yes,No,3,0,4,0,0,4
2001,Central,Medical treatment,No,No,No,932,0,0,1166,95,1261
2001,Central,Medical treatment,No,No,Yes,21,0,0,32,6,38
2001,Central,Medical treatment,No,Yes,No,57,0,0,65,2,67
2001,Central,Medical treatment,No,Yes,Yes,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,No,No,114,0,0,118,4,122
2001,Central,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
2001,Central,Minor injury,No,No,No,497,0,0,0,571,571
2001,Central,Minor injury,No,No,Yes,5,0,0,0,7,7
2001,Central,Minor injury,No,Yes,No,36,0,0,0,43,43
2001,Central,Minor injury,Yes,No,No,36,0,0,0,39,39
2001,Central,Property damage only,No,No,No,1733,0,0,0,0,0
2001,Central,Property damage only,No,No,Yes,7,0,0,0,0,0
2001,Central,Property damage only,No,Yes,No,141,0,0,0,0,0
2001,Central,Property damage only,Yes,No,No,8,0,0,0,0,0
2001,Central,Property damage only,Yes,Yes,No,1,0,0,0,0,0
2001,Northern,Fatal,No,No,No,27,34,23,3,0,60
2001,Northern,Fatal,No,No,Yes,2,2,0,0,0,2
2001,Northern,Fatal,No,Yes,No,10,10,2,0,0,12
2001,Northern,Fatal,Yes,No,No,2,2,1,0,0,3
2001,Northern,Hospitalisation,No,No,No,402,0,512,52,35,599
2001,Northern,Hospitalisation,No,No,Yes,10,0,13,18,0,31
2001,Northern,Hospitalisation,No,Yes,No,28,0,33,6,1,40
2001,Northern,Hospitalisation,Yes,No,No,97,0,106,5,3,114
2001,Northern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2001,Northern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
2001,Northern,Medical treatment,No,No,No,450,0,0,557,33,590
2001,Northern,Medical treatment,No,No,Yes,9,0,0,10,2,12
2001,Northern,Medical treatment,No,Yes,No,24,0,0,27,0,27
2001,Northern,Medical treatment,Yes,No,No,54,0,0,58,0,58
2001,Northern,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
2001,Northern,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
2001,Northern,Minor injury,No,No,No,265,0,0,0,326,326
2001,Northern,Minor injury,No,No,Yes,5,0,0,0,5,5
2001,Northern,Minor injury,No,Yes,No,12,0,0,0,15,15
2001,Northern,Minor injury,No,Yes,Yes,1,0,0,0,1,1
2001,Northern,Minor injury,Yes,No,No,25,0,0,0,27,27
2001,Northern,Minor injury,Yes,No,Yes,1,0,0,0,1,1
2001,Northern,Property damage only,No,No,No,925,0,0,0,0,0
2001,Northern,Property damage only,No,No,Yes,16,0,0,0,0,0
2001,Northern,Property damage only,No,Yes,No,80,0,0,0,0,0
2001,Northern,Property damage only,Yes,No,No,6,0,0,0,0,0
2001,Northern,Property damage only,Yes,No,Yes,1,0,0,0,0,0
2001,South Eastern,Fatal,No,No,No,32,33,28,10,2,73
2001,South Eastern,Fatal,No,Yes,No,4,4,3,0,0,7
2001,South Eastern,Fatal,Yes,No,No,7,7,1,3,0,11
2001,South Eastern,Hospitalisation,No,No,No,623,0,796,93,53,942
2001,South Eastern,Hospitalisation,No,No,Yes,15,0,18,11,3,32
2001,South Eastern,Hospitalisation,No,Yes,No,39,0,48,3,1,52
2001,South Eastern,Hospitalisation,Yes,No,No,100,0,103,5,3,111
2001,South Eastern,Hospitalisation,Yes,No,Yes,1,0,1,1,0,2
2001,South Eastern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
2001,South Eastern,Medical treatment,No,No,No,965,0,0,1212,59,1271
2001,South Eastern,Medical treatment,No,No,Yes,33,0,0,62,15,77
2001,South Eastern,Medical treatment,No,Yes,No,37,0,0,39,3,42
2001,South Eastern,Medical treatment,Yes,No,No,75,0,0,81,5,86
2001,South Eastern,Medical treatment,Yes,Yes,No,2,0,0,2,0,2
2001,South Eastern,Minor injury,No,No,No,529,0,0,0,649,649
2001,South Eastern,Minor injury,No,No,Yes,12,0,0,0,13,13
2001,South Eastern,Minor injury,No,Yes,No,16,0,0,0,23,23
2001,South Eastern,Minor injury,Yes,No,No,21,0,0,0,22,22
2001,South Eastern,Property damage only,No,No,No,1050,0,0,0,0,0
2001,South Eastern,Property damage only,No,No,Yes,16,0,0,0,0,0
2001,South Eastern,Property damage only,No,Yes,No,55,0,0,0,0,0
2001,South Eastern,Property damage only,No,Yes,Yes,1,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,No,1,0,0,0,0,0
2001,Southern,Fatal,No,No,No,52,62,34,5,6,107
2001,Southern,Fatal,No,No,Yes,1,1,0,1,1,3
2001,Southern,Fatal,No,Yes,No,10,10,0,0,0,10
2001,Southern,Fatal,Yes,No,No,9,9,0,0,0,9
2001,Southern,Hospitalisation,No,No,No,590,0,747,112,37,896
2001,Southern,Hospitalisation,No,No,Yes,9,0,9,3,2,14
2001,Southern,Hospitalisation,No,Yes,No,60,0,71,7,3,81
2001,Southern,Hospitalisation,Yes,No,No,75,0,78,4,1,83
2001,Southern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2001,Southern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
2001,Southern,Medical treatment,No,No,No,776,0,0,963,69,1032
2001,Southern,Medical treatment,No,No,Yes,6,0,0,13,3,16
2001,Southern,Medical treatment,No,Yes,No,55,0,0,66,4,70
2001,Southern,Medical treatment,Yes,No,No,65,0,0,68,1,69
2001,Southern,Minor injury,No,No,No,428,0,0,0,527,527
2001,Southern,Minor injury,No,No,Yes,5,0,0,0,8,8
2001,Southern,Minor injury,No,Yes,No,38,0,0,0,43,43
2001,Southern,Minor injury,Yes,No,No,17,0,0,0,18,18
2001,Southern,Minor injury,Yes,No,Yes,1,0,0,0,1,1
2001,Southern,Minor injury,Yes,Yes,No,1,0,0,0,1,1
2001,Southern,Property damage only,No,No,No,1422,0,0,0,0,0
2001,Southern,Property damage only,No,No,Yes,7,0,0,0,0,0
2001,Southern,Property damage only,No,Yes,No,145,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,No,6,0,0,0,0,0
2001,Unknown,Hospitalisation,No,No,No,52,0,72,18,4,94
2001,Unknown,Hospitalisation,No,No,Yes,2,0,4,8,0,12
2001,Unknown,Hospitalisation,No,Yes,No,3,0,3,1,0,4
2001,Unknown,Hospitalisation,Yes,No,No,9,0,10,0,0,10
2001,Unknown,Medical treatment,No,No,No,57,0,0,72,2,74
2001,Unknown,Medical treatment,No,No,Yes,3,0,0,3,0,3
2001,Unknown,Medical treatment,No,Yes,No,3,0,0,3,0,3
2001,Unknown,Medical treatment,Yes,No,No,2,0,0,2,0,2
2001,Unknown,Minor injury,No,No,No,24,0,0,0,26,26
2001,Unknown,Minor injury,No,No,Yes,2,0,0,0,3,3
2001,Unknown,Minor injury,No,Yes,No,3,0,0,0,3,3
2001,Unknown,Minor injury,Yes,No,No,2,0,0,0,2,2
2001,Unknown,Property damage only,No,No,No,56,0,0,0,0,0
2001,Unknown,Property damage only,No,Yes,No,4,0,0,0,0,0
2002,Brisbane,Fatal,No,No,No,27,30,9,1,2,42
2002,Brisbane,Fatal,No,No,Yes,1,1,0,0,1,2
2002,Brisbane,Fatal,No,Yes,No,4,4,2,0,0,6
